Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, 1.55)",68,0.05475040257648953,58,10,0.14705882352941177,0.1940987357514783,0.0019339110013507476,0.00024136011573369165
"[1.55, 1.82)",74,0.05958132045088567,51,23,0.3108108108108108,-0.7674277650057192,0.043987073634711105,0.005367309252033764
"[1.82, 2.13)",138,0.1111111111111111,105,33,0.2391304347826087,-0.4063063931098523,0.02082273111764267,0.0025850841366262707
"[2.13, 3.28)",531,0.427536231884058,431,100,0.18832391713747645,-0.10282127768523885,0.004672953608710737,0.0005838620272842626
"[3.28, 5.06)",306,0.2463768115942029,265,41,0.13398692810457516,0.30239857748101917,0.020362138764918325,0.00253561348291898
"[5.06, inf)",125,0.10064412238325282,117,8,0.064,1.1189732113170248,0.08584174826883033,0.010203269233870712
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,1242,1.0,1027,215,0.17310789049919484,,0.17762055639616392,0.02151649824846768
