Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, 0.56)",226,0.1819645732689211,178,48,0.21238938053097345,-0.25317664241670124,0.012642492965678077,0.0015761044568577028
"[0.56, 0.73)",95,0.07648953301127215,90,5,0.05263157894736842,1.3266125760952692,0.0854047588106893,0.009955755423616377
"[0.73, 0.78)",132,0.10628019323671498,114,18,0.13636363636363635,0.2820675086974356,0.007695363204607465,0.000958744182859724
"[0.78, 0.82)",142,0.1143317230273752,122,20,0.14084507042253522,0.2445295893783701,0.006301367104743675,0.0007857142965306627
"[0.82, 0.90)",343,0.27616747181964574,290,53,0.15451895043731778,0.1358298276275025,0.004871431376020431,0.0006084612458347061
"[0.90, inf)",304,0.24476650563607086,233,71,0.23355263157894737,-0.3754006052765104,0.03880071834252176,0.004821809717809874
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,1242,1.0,1027,215,0.17310789049919484,,0.15571613180426072,0.01870658932350905
