Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, 1.50)",226,0.1819645732689211,177,49,0.2168141592920354,-0.27942974733769277,0.015525210662524928,0.0019343622138292913
"[1.50, 3.50)",153,0.12318840579710146,122,31,0.20261437908496732,-0.1937253415527851,0.004919354136393952,0.0006139595003901372
"[3.50, 4.50)",77,0.061996779388083734,62,15,0.19480519480519481,-0.14467499785801397,0.0013595734723189194,0.00016979862525305688
"[4.50, 5.50)",78,0.06280193236714976,72,6,0.07692307692307693,0.921147467987105,0.03887254413035866,0.004694249825135723
"[5.50, 7.50)",120,0.0966183574879227,107,13,0.10833333333333334,0.5441202951994741,0.023789938315960792,0.002937592431835343
"[7.50, 22.50)",395,0.31803542673107893,345,50,0.12658227848101267,0.3677622298023182,0.038016226513158294,0.0047254286342861135
"[22.50, 47.50)",121,0.09742351046698873,97,24,0.19834710743801653,-0.16710203364545806,0.0028704875959204884,0.00035839406853279115
"[47.50, inf)",72,0.057971014492753624,45,27,0.375,-1.0529335580349048,0.08609253620507767,0.010290461372664497
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,1242,1.0,1027,215,0.17310789049919484,,0.2114458710317137,0.025724246671926954
