Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, 0.04)",101,0.08132045088566828,74,27,0.26732673267326734,-0.5555309546010547,0.029735831853580627,0.0036699081159462642
"[0.04, 0.15)",315,0.2536231884057971,244,71,0.2253968253968254,-0.3292708335490089,0.03050607296896391,0.0037961256812545988
"[0.15, 0.19)",90,0.07246376811594203,77,13,0.14444444444444443,0.21509688259125181,0.0031211721284498564,0.00038939613583007394
"[0.19, 0.33)",232,0.18679549114331723,201,31,0.1336206896551724,0.30555852177303433,0.015745317636528065,0.001960543616737762
"[0.33, 0.41)",100,0.08051529790660225,88,12,0.12,0.42867098288931094,0.012805479056805291,0.0015885405599213118
"[0.41, 0.47)",63,0.050724637681159424,59,4,0.06349206349206349,1.1274839009849336,0.043796242923610305,0.005201820479157578
"[0.47, 1.19)",271,0.2181964573268921,241,30,0.11070110701107011,0.5198403700276044,0.04945199145141561,0.0061128238368250015
"[1.19, inf)",70,0.05636070853462158,43,27,0.38571428571428573,-1.098395932111662,0.09194878018682531,0.010948566519609926
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,1242,1.0,1027,215,0.17310789049919484,,0.27711088820617896,0.033667724945282515
