Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, 0.50)",809,0.6513687600644122,685,124,0.15327564894932014,0.14537809085629316,0.013119943916547841,0.0016385503095616878
"[0.50, 1.50)",283,0.2278582930756844,214,69,0.24381625441696114,-0.4318896713763034,0.048611915503341235,0.006029698890273574
"[1.50, inf)",150,0.12077294685990338,128,22,0.14666666666666667,0.19722862876040592,0.004400028193536196,0.0005491138102536233
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,1242,1.0,1027,215,0.17310789049919484,,0.06613188761342527,0.008217363010088885
