Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, 1.50)",255,0.20531400966183574,187,68,0.26666666666666666,-0.5521582701224155,0.0740970616697869,0.009146238042981585
"[1.50, 622.00)",124,0.0998389694041868,116,8,0.06451612903225806,1.1103894676256334,0.08410205138729235,0.010003922021750001
"[622.00, 1417.50)",223,0.17954911433172302,191,32,0.14349775784753363,0.222778343446008,0.008274292677252378,0.0010321530514368661
"[1417.50, 7272.50)",484,0.3896940418679549,414,70,0.1446280991735537,0.21361154997506016,0.01656225962081034,0.0020663552955408615
"[7272.50, 12227.58)",76,0.061191626409017714,64,12,0.15789473684210525,0.11021725177077624,0.0007167952426024534,8.955408120896722e-05
"[12227.58, inf)",80,0.0644122383252818,55,25,0.3125,-0.7753018214366251,0.04863082913383872,0.0059310389007144
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,1242,1.0,1027,215,0.17310789049919484,,0.23238328973158312,0.028269261393632682
