Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, 0.02)",863,0.6948470209339774,719,144,0.16685979142526072,0.044288876344150685,0.0013432784804545954,0.00016789608824181474
"[0.02, 0.41)",71,0.0571658615136876,63,8,0.11267605633802817,0.4999340029108015,0.0120656158217054,0.0014926893742417844
"[0.41, inf)",308,0.24798711755233493,245,63,0.20454545454545456,-0.20563569764770118,0.011199813862508798,0.001397515291580078
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,1242,1.0,1027,215,0.17310789049919484,,0.024608708164668792,0.003058100754063677
