Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, 2729.56)",903,0.7270531400966184,747,156,0.17275747508305647,0.002449996082384942,4.360627976618161e-06,5.450783607110024e-07
"[2729.56, 6204.50)",108,0.08695652173913043,94,14,0.12962962962962962,0.34047827085384985,0.00899286372871834,0.0011187095470824703
"[6204.50, 10566.84)",76,0.061191626409017714,70,6,0.07894736842105263,0.8929765910204086,0.035944729245213615,0.00434951592594567
"[10566.84, 24440.02)",92,0.07407407407407407,77,15,0.16304347826086957,0.07199603895057827,0.0003749708783458942,4.686123931634803e-05
"[24440.02, inf)",63,0.050724637681159424,39,24,0.38095238095238093,-1.0782513660191946,0.07941668877774578,0.009472515164460843
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,1242,1.0,1027,215,0.17310789049919484,,0.12473361325800025,0.014988146955166043
