Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, 27796.46)",179,0.14412238325281804,128,51,0.2849162011173184,-0.6435545506056037,0.07244779540501121,0.008902863662212167
"[27796.46, 78547.50)",257,0.2069243156199678,210,47,0.1828793774319066,-0.06679925279348509,0.0009435785850088585,0.00011792539895542778
"[78547.50, 114111.57)",121,0.09742351046698873,99,22,0.18181818181818182,-0.05968178502462118,0.00035381199065795323,4.4219936207245264e-05
"[114111.57, 163985.05)",108,0.08695652173913043,101,7,0.06481481481481481,1.1054511859850509,0.07272382386095809,0.00865416586769885
"[163985.05, 335077.89)",262,0.2109500805152979,230,32,0.12213740458015267,0.40858422432257346,0.03069123409621252,0.003809939475610976
"[335077.89, 446584.08)",90,0.07246376811594203,75,15,0.16666666666666666,0.045678730633204934,0.00014894900956005284,1.8617007671021765e-05
"[446584.08, inf)",225,0.18115942028985507,184,41,0.18222222222222223,-0.062395490896217654,0.0007197360354732305,8.995241313707568e-05
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,1242,1.0,1027,215,0.17310789049919484,,0.17802892898288192,0.021637683761492763
