Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, 0.21)",960,0.7729468599033816,798,162,0.16875,0.030753080416529244,0.0007236838198604474,9.045691293551195e-05
"[0.21, 0.36)",72,0.057971014492753624,60,12,0.16666666666666666,0.045678730633204934,0.00011915920764804276,1.4893606136817477e-05
"[0.36, 1.50)",133,0.107085346215781,115,18,0.13533834586466165,0.2908011886661901,0.008216791359291502,0.0010234951131760364
"[1.50, inf)",77,0.061996779388083734,54,23,0.2987012987012987,-0.7102693511657706,0.03863610505582786,0.004730489705985051
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,1242,1.0,1027,215,0.17310789049919484,,0.04769573944262785,0.005859335338233417
