Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, 0.38)",184,0.14814814814814814,165,19,0.10326086956521739,0.5977473129332447,0.04321117098363016,0.005322392331409914
"[0.38, 0.43)",86,0.06924315619967794,76,10,0.11627906976744186,0.4643890654913898,0.012766203788558849,0.001581589140445378
"[0.43, 0.53)",190,0.1529790660225443,164,26,0.1368421052631579,0.27801070800182104,0.010775189144627988,0.001342577764279913
"[0.53, 0.58)",100,0.08051529790660225,85,15,0.15,0.17084187358721104,0.0022205845755091397,0.0002772360008663163
"[0.58, 0.75)",278,0.22383252818035426,235,43,0.15467625899280577,0.1346262166497012,0.0038801713854246856,0.00048465547835856767
"[0.75, 0.99)",180,0.14492753623188406,149,31,0.17222222222222222,0.006199919659417574,5.559584667759462e-06,6.949469704337671e-07
"[0.99, 1.53)",148,0.11916264090177134,105,43,0.2905405405405405,-0.6709989473369342,0.06559717070363022,0.008049202641954838
"[1.53, inf)",76,0.061191626409017714,48,28,0.3684210526315789,-1.0247626810682082,0.08556203341488414,0.010250544609080177
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,1242,1.0,1027,215,0.17310789049919484,,0.22401808358093295,0.027308892913365537
