Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, 5563.56)",212,0.1706924315619968,170,42,0.19811320754716982,-0.16563036303400192,0.004938793551848318,0.0006166444939209471
"[5563.56, 7163.50)",99,0.07971014492753623,81,18,0.18181818181818182,-0.05968178502462118,0.0002894825378110531,3.6179947805923705e-05
"[7163.50, 10101.55)",142,0.1143317230273752,119,23,0.1619718309859155,0.07987009538148437,0.0007104226232614075,8.877923152328555e-05
"[10101.55, 18710.50)",289,0.23268921095008052,252,37,0.12802768166089964,0.3547519930663037,0.02599688412765043,0.0032326770151554184
"[18710.50, 24705.50)",108,0.08695652173913043,102,6,0.05555555555555555,1.2694541622553208,0.09065353244012542,0.010627278437575183
"[24705.50, 45655.54)",186,0.1497584541062802,161,25,0.13440860215053763,0.298769358315367,0.012096637591265502,0.0015064808061521374
"[45655.54, inf)",206,0.16586151368760063,142,64,0.3106796116504854,-0.7668152075593063,0.12223618883482017,0.014915842609941055
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,1242,1.0,1027,215,0.17310789049919484,,0.2569219417067823,0.03102388254207395
