Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, 759.75)",1087,0.8752012882447665,899,188,0.17295308187672492,0.0010818898407758404,1.0240482630468684e-06,1.280060265894205e-07
"[759.75, 3792.22)",76,0.061191626409017714,72,4,0.05263157894736842,1.3266125760952692,0.06832380704855145,0.007964604338893101
"[3792.22, inf)",79,0.06360708534621579,56,23,0.2911392405063291,-0.6739017069948957,0.03534546622000358,0.004336432971159798
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,1242,1.0,1027,215,0.17310789049919484,,0.10367029731681808,0.012301165316079488
