Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, 0.50)",1042,0.8389694041867954,865,177,0.16986564299424184,0.02282059255715474,0.0004336641215997014,5.4206838963088456e-05
"[0.50, 1.37)",134,0.10789049919484701,103,31,0.23134328358208955,-0.363017398056406,0.015934261551879207,0.0019809175696399173
"[1.37, inf)",66,0.05314009661835749,59,7,0.10606060606060606,0.5678681130495109,0.014134657953035985,0.001743468620951493
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,1242,1.0,1027,215,0.17310789049919484,,0.030502583626514895,0.003778593029554499
