Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, 0.84)",1066,0.8582930756843801,884,182,0.17073170731707318,0.01669119375995276,0.0002378138881312067,2.9726390948364278e-05
"[0.84, 0.95)",64,0.05152979066022544,58,6,0.09375,0.7049243595174688,0.020138415614846552,0.0024664428712167057
"[0.95, inf)",112,0.09017713365539452,85,27,0.24107142857142858,-0.416944791314908,0.017851932959358444,0.0022154671092814143
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,1242,1.0,1027,215,0.17310789049919484,,0.03822816246233621,0.004711636371446485
