Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
"(-inf, 0.50)",227,0.18276972624798712,150,77,0.3392070484581498,-0.8969293095583235,0.19022351231768636,0.023011640810250977
"[0.50, 58.50)",71,0.0571658615136876,68,3,0.04225352112676056,1.5571362347071016,0.08137404049856317,0.009254516932262462
"[58.50, 592.50)",311,0.250402576489533,274,37,0.1189710610932476,0.43845101194295033,0.0415228328649217,0.005149175069094479
"[592.50, 6005.00)",546,0.4396135265700483,473,73,0.1336996336996337,0.30487676554264653,0.03689919468472943,0.004594618536556433
"[6005.00, inf)",87,0.07004830917874397,62,25,0.28735632183908044,-0.6555006216240044,0.03664842360430397,0.004500759107031151
Special,0,0.0,0,0,0.0,0.0,0.0,0.0
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
,1242,1.0,1027,215,0.17310789049919484,,0.3866680039702046,0.0465107104551955
