Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,PR_AUC,Gini,KS_Statistic,Log_Loss
random_forest,0.7984189723320159,0.44680851063829785,0.45652173913043476,0.45161290322580644,0.7233774417139256,0.5089677010658297,0.4467548834278512,0.3695652173913043,0.4824300189376799
best,0.8063241106719368,0.46511627906976744,0.43478260869565216,0.449438202247191,0.7189666036546943,0.5041451816430863,0.4379332073093887,0.34299516908212563,0.9639605011140697
gradient_boosting,0.8063241106719368,0.46511627906976744,0.43478260869565216,0.449438202247191,0.7189666036546943,0.5041451816430863,0.4379332073093887,0.34299516908212563,0.9639605011140697
logistic_regression,0.6996047430830039,0.32558139534883723,0.6086956521739131,0.42424242424242425,0.7016383112791431,0.4049511130808311,0.4032766225582862,0.34299516908212563,0.6166412200574934
decision_tree,0.7549407114624506,0.34615384615384615,0.391304347826087,0.3673469387755102,0.6486557445914725,0.3097710200559818,0.2973114891829449,0.2536231884057971,4.557117480763762
