Variable,Bin,total,good,bad,good_rate,bad_rate,WoE,IV_component,IV
amount_min_max_ratio_6m,"(-0.001, 1.65e-05]",220,144,76,0.6545454515702479,0.3454545438842975,-0.8747146960668275,0.21295723353520857,-3.748428581418217e-09
amount_min_max_ratio_6m,"(1.65e-05, 0.00192]",60,59,1,0.9833333169444448,0.016666666388888893,-0.8747146960668275,-0.05759794667164152,-3.748428581418217e-09
amount_min_max_ratio_6m,"(0.00192, 0.0308]",274,232,42,0.8467153253769514,0.1532846709734136,-0.8747146960668275,-0.04352826445258456,-3.748428581418217e-09
amount_min_max_ratio_6m,"(0.0308, 0.0543]",90,85,5,0.9444444339506174,0.05555555493827161,-0.8747146960668275,-0.06587354720111256,-3.748428581418217e-09
amount_min_max_ratio_6m,"(0.0543, 0.287]",314,271,43,0.8630573220921741,0.1369426747231125,-0.8747146960668275,-0.07997228863307419,-3.748428581418217e-09
amount_min_max_ratio_6m,"(0.287, 1.0]",51,36,15,0.7058823391003464,0.29411764129181095,-0.8747146960668275,0.0340148096747757,-3.748428581418217e-09
