Variable,Bin,total,good,bad,good_rate,bad_rate,WoE,IV_component,IV
max_abs_z_overall,"(-0.001, 2.265]",212,180,32,0.8490565997686009,0.15094339551441796,0.21342185137894146,0.008927435314060263,0.010830649946112533
max_abs_z_overall,"(2.265, 2.456]",77,52,25,0.6753246665542252,0.3246753204587621,0.21342185137894146,-0.015896676415530622,0.010830649946112533
max_abs_z_overall,"(2.456, 2.939]",166,139,27,0.837349392546088,0.16265060142981566,0.21342185137894146,0.00420990403815945,0.010830649946112533
max_abs_z_overall,"(2.939, 3.113]",56,52,4,0.9285714119897962,0.07142857015306125,1.0511217585545083,0.04299072214370596,0.010830649946112533
max_abs_z_overall,"(3.113, 5.063]",337,262,75,0.7774480689096497,0.22255192812299132,1.0511217585545083,-0.1001510613087023,0.010830649946112533
max_abs_z_overall,"(5.063, 11.84]",161,142,19,0.8819875721615679,0.11801242162725205,1.0511217585545083,0.07075032617441979,0.010830649946112533
