Variable,Bin,total,good,bad,good_rate,bad_rate,WoE,IV_component,IV
active_days_1m,"(-0.001, 0.5]",86,67,19,0.7790697583829098,0.22093022998918338,-0.2535415991311787,0.0059277732914645685,0.18265965625000613
active_days_1m,"(0.5, 1.5]",337,305,32,0.9050445077001646,0.09495548933247629,-0.2535415991311787,-0.04892813497888956,0.18265965625000613
active_days_1m,"(1.5, 2.5]",242,220,22,0.9090909053343351,0.09090909053343352,-0.2535415991311787,-0.03679969828514338,0.18265965625000613
active_days_1m,"(2.5, 3.5]",113,75,38,0.663716808285692,0.3362831828647506,-0.8338898127080099,0.09848402926288102,0.18265965625000613
active_days_1m,"(3.5, 4.5]",123,83,40,0.6747967424813273,0.32520324938859146,-0.8338898127080099,0.09958100480539533,0.18265965625000613
active_days_1m,"(4.5, 7.0]",108,77,31,0.7129629563614541,0.28703703437928674,-0.8338898127080099,0.06439468215429815,0.18265965625000613
