Variable,Bin,total,good,bad,good_rate,bad_rate,WoE,IV_component,IV
sum_amount_overall,"(-0.001, 54335.0]",88,62,26,0.7045454465392563,0.2954545420971075,-0.6447538179927754,0.04377064223178218,0.006080461726228581
sum_amount_overall,"(54335.0, 819064.406]",677,575,102,0.8493353015519419,0.1506646969709532,-0.6447538179927754,-0.08694157159616968,0.006080461726228581
sum_amount_overall,"(819064.406, 1048654.625]",71,55,16,0.7746478764134103,0.22535210950208298,-0.6447538179927754,0.013802016838972381,0.006080461726228581
sum_amount_overall,"(1048654.625, 1517283.188]",58,52,6,0.896551708680143,0.10344827407847804,-0.6447538179927754,-0.019285127621373806,0.006080461726228581
sum_amount_overall,"(1517283.188, 2546080.5]",64,44,20,0.6874999892578127,0.31249999511718757,-0.7253309479780197,0.04111593333015231,0.006080461726228581
sum_amount_overall,"(2546080.5, 10111626.0]",51,39,12,0.7647058673587085,0.23529411303344877,-0.7253309479780197,0.013618568542865197,0.006080461726228581
