Variable,Bin,total,good,bad,good_rate,bad_rate,WoE,IV_component,IV
max_abs_z_6m,"(-0.001, 2.456]",328,252,76,0.7682926805844735,0.231707316366746,-0.31510136942982525,0.03556441243028249,0.9927394943003662
max_abs_z_6m,"(2.456, 3.582]",348,283,65,0.8132183884677633,0.18678160865867355,-0.0427382536528574,0.0006386005454907124,0.9927394943003662
max_abs_z_6m,"(3.582, 4.65]",153,135,18,0.8823529354094579,0.1176470580545944,0.5011010317278046,0.03224060497594981,0.9927394943003662
max_abs_z_6m,"(4.65, 5.331]",60,46,14,0.7666666538888891,0.23333332944444451,0.5011010317278046,-0.010673624253653624,0.9927394943003662
max_abs_z_6m,"(5.331, 6.183]",51,51,0,0.9999999803921573,0.0,11.02954771001054,0.6801776693232888,0.9927394943003662
max_abs_z_6m,"(6.183, 11.84]",69,60,9,0.8695652047889101,0.13043478071833653,11.02954771001054,0.2547918312790081,0.9927394943003662
