Variable,Bin,total,good,bad,good_rate,bad_rate,WoE,IV_component,IV
avg_amount_1m,"(-0.001, 1119.38]",109,77,32,0.7064220118676879,0.2935779789580002,-0.6357234318894035,0.05258485353759387,0.08858991847662166
avg_amount_1m,"(1119.38, 3960.177]",249,208,41,0.8353413621070628,0.16465863387687296,-0.6357234318894035,-0.016679324992144452,0.08858991847662166
avg_amount_1m,"(3960.177, 14034.917]",459,409,50,0.8910675361850381,0.10893246163631272,-0.6357234318894035,-0.13975322562399703,0.08858991847662166
avg_amount_1m,"(14034.917, 17494.161]",50,35,15,0.6999999860000004,0.29999999400000016,-0.6664886482418615,0.02672348719618017,0.08858991847662166
avg_amount_1m,"(17494.161, 29628.229]",71,59,12,0.830985903788931,0.16901408212656224,-0.6664886482418615,-0.003604460630618681,0.08858991847662166
avg_amount_1m,"(29628.229, 267032.737]",71,39,32,0.5492957669113272,0.45070421900416596,-1.3159567429121128,0.16931858898960778,0.08858991847662166
