Variable,Bin,total,good,bad,good_rate,bad_rate,WoE,IV_component,IV
txn_days_range,"(-0.001, 63.5]",610,546,64,0.8950819657457673,0.10491803261488847,0.6299365596285501,0.19437908555276784,-0.039125637617106634
txn_days_range,"(63.5, 93.0]",94,70,24,0.7446808431416931,0.25531914622000906,0.6299365596285501,-0.02974865465568824,-0.039125637617106634
txn_days_range,"(93.0, 195.5]",120,109,11,0.9083333257638889,0.09166666590277779,0.7796456475786211,0.055637176082685535,-0.039125637617106634
txn_days_range,"(195.5, 276.5]",57,37,20,0.6491227956294247,0.35087718682671604,0.7796456475786211,-0.05079398033173563,-0.039125637617106634
txn_days_range,"(276.5, 353.5]",60,52,8,0.8666666522222225,0.13333333111111115,0.7796456475786211,0.014752320871966923,-0.039125637617106634
txn_days_range,"(353.5, 364.0]",68,13,55,0.19117646777681666,0.8088235175173012,0.7796456475786211,-0.22335158513710307,-0.039125637617106634
