Variable,Bin,total,good,bad,good_rate,bad_rate,WoE,IV_component,IV
avg_amount_3m,"(-0.001, 2849.016]",148,125,23,0.8445945888878744,0.1554054043553689,0.17902022067747966,0.004435244672862471,0.1318988555894852
avg_amount_3m,"(2849.016, 3674.428]",103,74,29,0.718446594966538,0.28155339532472434,-0.5770238406730531,0.04031123761269411,0.1318988555894852
avg_amount_3m,"(3674.428, 17688.656]",577,507,70,0.8786828407648478,0.12131715750205,-0.5770238406730531,-0.13181755754851882,0.1318988555894852
avg_amount_3m,"(17688.656, 22318.085]",54,35,19,0.6481481361454049,0.35185184533607694,-0.9028748719478434,0.05604501812199051,0.1318988555894852
avg_amount_3m,"(22318.085, 38779.895]",64,52,12,0.8124999873046878,0.18749999707031256,-0.9028748719478434,0.0027593606056368052,0.1318988555894852
avg_amount_3m,"(38779.895, 334468.125]",63,34,29,0.5396825311161503,0.4603174530108341,-1.3547152616406741,0.16016555212482012,0.1318988555894852
