Variable,Bin,total,good,bad,good_rate,bad_rate,WoE,IV_component,IV
dependency_ratio_1m,"(-0.001, 0.0048]",90,70,20,0.7777777691358025,0.22222221975308645,-0.26103232090891704,0.006590236122571457,0.044197560261137026
dependency_ratio_1m,"(0.0048, 0.0689]",275,262,13,0.9527272692628099,0.047272727100826445,1.4895862992194735,0.36551344586667506,0.044197560261137026
dependency_ratio_1m,"(0.0689, 0.164]",254,225,29,0.8858267681660363,0.1141732278969558,1.4895862992194735,0.1679166779262248,0.044197560261137026
dependency_ratio_1m,"(0.164, 0.285]",119,94,25,0.7899159597486054,0.21008403184803334,1.4895862992194735,-0.035301395158691545,0.044197560261137026
dependency_ratio_1m,"(0.285, 0.436]",134,94,40,0.701492532078414,0.29850746045889953,1.4895862992194735,-0.1580694960681641,0.044197560261137026
dependency_ratio_1m,"(0.436, 1.0]",137,82,55,0.5985401416164954,0.40145985108423465,1.4895862992194735,-0.30245190842747866,0.044197560261137026
