Variable,Bin,total,good,bad,good_rate,bad_rate,WoE,IV_component,IV
avg_txn_per_day_3m,"(-0.001, 0.106]",99,73,26,0.7373737299255179,0.2626262599734721,-0.4814307718072428,0.026279516669711973,-0.01385488987492605
avg_txn_per_day_3m,"(0.106, 0.528]",380,307,73,0.8078947347160665,0.19210526265235459,-0.4814307718072428,0.014384004502231755,-0.01385488987492605
avg_txn_per_day_3m,"(0.528, 0.606]",53,37,16,0.6981131943752228,0.3018867867568531,-0.6754578370909143,0.029160908498935587,-0.01385488987492605
avg_txn_per_day_3m,"(0.606, 0.717]",60,57,3,0.949999984166667,0.049999999166666684,-0.6754578370909143,-0.03542121469692723,-0.01385488987492605
avg_txn_per_day_3m,"(0.717, 2.261]",366,318,48,0.8688524566424797,0.13114754062527995,-0.6754578370909143,-0.08158592276044915,-0.01385488987492605
avg_txn_per_day_3m,"(2.261, 23.867]",51,35,16,0.6862744963475589,0.3137254840445984,-0.7310264110550087,0.033327817911571016,-0.01385488987492605
