Variable,Bin,total,good,bad,good_rate,bad_rate,WoE,IV_component,IV
max_amount_6m,"(-0.001, 10855.0]",280,230,50,0.821428568494898,0.17857142793367348,0.012258255485787704,4.1535753898827326e-05,-0.02302972483646608
max_amount_6m,"(10855.0, 37941.455]",418,371,47,0.8875598064890914,0.11244019111856414,0.5522548140108773,0.10513146457277447,-0.02302972483646608
max_amount_6m,"(37941.455, 48815.35]",79,57,22,0.7215189782086205,0.27848100913315177,0.5522548140108773,-0.028692564128820867,-0.02302972483646608
max_amount_6m,"(48815.35, 67468.625]",61,55,6,0.9016393294813225,0.09836065412523519,0.7017604157199914,0.02353592748311138,-0.02302972483646608
max_amount_6m,"(67468.625, 123760.5]",106,76,30,0.7169811253114988,0.283018865254539,0.7017604157199914,-0.05118411416777385,-0.02302972483646608
max_amount_6m,"(123760.5, 558590.0]",65,38,27,0.584615375621302,0.41538460899408297,0.7017604157199914,-0.07186197434965605,-0.02302972483646608
