Variable,Bin,total,good,bad,good_rate,bad_rate,WoE,IV_component,IV
vol_recency_3m,"(-0.001, 0.452]",560,512,48,0.9142857126530612,0.08571428556122448,0.85332343404361,0.3032446412300041,3.656760227954692e-09
vol_recency_3m,"(0.452, 0.883]",95,81,14,0.8526315699722993,0.14736841950138507,0.85332343404361,0.017937968457334485,3.656760227954692e-09
vol_recency_3m,"(0.883, 1.784]",66,50,16,0.7575757460973372,0.2424242387511479,0.85332343404361,-0.02342594294762231,3.656760227954692e-09
vol_recency_3m,"(1.784, 2.631]",52,34,18,0.6538461412721897,0.34615383949704154,0.85332343404361,-0.049312403935194926,3.656760227954692e-09
vol_recency_3m,"(2.631, 3.667]",56,47,9,0.8392856992984697,0.16071428284438782,0.85332343404361,0.006298698867170855,3.656760227954692e-09
vol_recency_3m,"(3.667, 20.087]",180,103,77,0.5722222190432099,0.4277777754012346,0.85332343404361,-0.254742958014932,3.656760227954692e-09
