Variable,Bin,total,good,bad,good_rate,bad_rate,WoE,IV_component,IV
max_abs_z_1m,"(-0.001, 0.5]",106,84,22,0.7924528227127092,0.2075471678533286,-0.17402208568003874,0.0033598746083866593,0.6116584020706073
max_abs_z_1m,"(0.5, 1.346]",62,40,22,0.6451612799167535,0.35483870395421446,-0.9159486008127591,0.06641683129654913,0.6116584020706073
max_abs_z_1m,"(1.346, 1.475]",50,26,24,0.5199999896000003,0.47999999040000024,-1.4337310721061733,0.14398845780329472,0.6116584020706073
max_abs_z_1m,"(1.475, 1.694]",103,69,34,0.6699029061174475,0.3300970841738147,-0.8060453911719261,0.08332823640555292,0.6116584020706073
max_abs_z_1m,"(1.694, 1.846]",88,77,11,0.8749999900568183,0.12499999857954547,0.4321063402780482,0.01411607484634693,0.6116584020706073
max_abs_z_1m,"(1.846, 2.223]",141,113,28,0.8014184340324934,0.1985815588753081,-0.11861387654605551,0.002041072113641671,0.6116584020706073
max_abs_z_1m,"(2.223, 5.51]",405,365,40,0.901234565675964,0.09876543185490017,0.6972176115681616,0.15448534632338654,0.6116584020706073
max_abs_z_1m,"(5.51, 9.067]",54,53,1,0.9814814633058989,0.018518518175582997,2.4563275301013987,0.1439225086734487,0.6116584020706073
