Variable,Bin,total,good,bad,good_rate,bad_rate,WoE,IV_component,IV
avg_amount_7d,"(-0.001, 1637.75]",531,423,108,0.796610167991318,0.20338983012544287,-0.14855678184246318,0.012169665685869706,0.32909512510478645
avg_amount_7d,"(1637.75, 3823.977]",123,106,17,0.8617886108797674,0.13821138099015137,0.3164248424255337,0.011001310293223928,0.32909512510478645
avg_amount_7d,"(3823.977, 5136.5]",67,64,3,0.9552238663399424,0.044776118734684796,1.5464250479946586,0.09418445071067709,0.32909512510478645
avg_amount_7d,"(5136.5, 6157.0]",51,42,9,0.8235293956170707,0.1764705847750866,0.026646505550061095,3.558438722638633e-05,0.32909512510478645
avg_amount_7d,"(6157.0, 8732.77]",61,59,2,0.967213098898146,0.03278688470841173,1.8705152806748755,0.11289156359117657,0.32909512510478645
avg_amount_7d,"(8732.77, 11951.153]",50,39,11,0.7799999844000004,0.2199999956000001,-0.24812697074466097,0.003295413079487291,0.32909512510478645
avg_amount_7d,"(11951.153, 24642.007]",67,58,9,0.8656716288705727,0.1343283562040544,0.3494144660498064,0.007226751283219927,0.32909512510478645
avg_amount_7d,"(24642.007, 326146.78]",59,36,23,0.6101694811835682,0.38983050186727963,-1.0657582221884412,0.08829038607390553,0.32909512510478645
