Variable,Bin,total,good,bad,good_rate,bad_rate,WoE,IV_component,IV
avg_txn_per_day_1m,"(-0.001, 0.05]",109,85,24,0.779816506607188,0.22018348421850015,-0.24919843145938522,0.007248433437516876,-0.0069109389101005
avg_txn_per_day_1m,"(0.05, 0.617]",311,229,82,0.7363344027770597,0.2636655940075061,-0.48679385553414267,0.08452930658537801,-0.0069109389101005
avg_txn_per_day_1m,"(0.617, 0.883]",127,114,13,0.8976377882075764,0.10236220391840785,-0.48679385553414267,-0.03233239559321802,-0.0069109389101005
avg_txn_per_day_1m,"(0.883, 1.283]",109,87,22,0.798165130292063,0.20183486053362515,-0.48679385553414267,0.007632734893216221,-0.0069109389101005
avg_txn_per_day_1m,"(1.283, 1.75]",81,75,6,0.9259259144947418,0.07407407315957934,-0.48679385553414267,-0.02809881487514586,-0.0069109389101005
avg_txn_per_day_1m,"(1.75, 2.383]",67,51,16,0.7611940184896415,0.2388059665849856,-0.48679385553414267,0.012775128555695646,-0.0069109389101005
avg_txn_per_day_1m,"(2.383, 3.967]",119,111,8,0.932773101405268,0.06722689019137067,-0.48679385553414267,-0.04393997453453629,-0.0069109389101005
avg_txn_per_day_1m,"(3.967, 27.133]",86,75,11,0.8720930131151976,0.12790697525689565,-0.48679385553414267,-0.014725357379007091,-0.0069109389101005
