Variable,Bin,total,good,bad,good_rate,bad_rate,WoE,IV_component,IV
sum_amount_7d,"(-0.001, 1.5]",493,397,96,0.8052738320379841,0.19472616593361833,-0.0942097271525144,0.004467816944267595,0.1758874914718145
sum_amount_7d,"(1.5, 7799.79]",115,89,26,0.7739130367485824,0.2260869545557656,-0.28325587983478995,0.00998172368501964,0.1758874914718145
sum_amount_7d,"(7799.79, 17094.5]",72,65,7,0.9027777652391977,0.09722222087191361,0.7146658405125956,0.02868368626868843,0.1758874914718145
sum_amount_7d,"(17094.5, 27407.635]",56,41,15,0.7321428440688779,0.2678571380739797,-0.508268100790969,0.016691930266637196,0.1758874914718145
sum_amount_7d,"(27407.635, 45459.955]",55,51,4,0.9272727104132235,0.0727272714049587,1.0317039845325195,0.04094901212358854,0.1758874914718145
sum_amount_7d,"(45459.955, 97465.5]",78,65,13,0.8333333226495728,0.16666666452991455,0.09563863186644309,0.0006856112259678121,0.1758874914718145
sum_amount_7d,"(97465.5, 173270.0]",58,43,15,0.7413792975624259,0.2586206851961951,-0.4606409899568001,0.014013813106915648,0.1758874914718145
sum_amount_7d,"(173270.0, 7939196.0]",82,76,6,0.9268292569898872,0.07317073081499109,1.0251564160429987,0.06041389785072966,0.1758874914718145
