Variable,Bin,total,good,bad,good_rate,bad_rate,WoE,IV_component,IV
vol_recency_6m,"(-0.001, 0.587]",589,539,50,0.9151103549828347,0.08488964331937242,0.8638924561475203,0.32571168924658034,3.7020518039998507e-09
vol_recency_6m,"(0.587, 0.864]",53,41,12,0.7735848910644361,0.22641509006763982,0.8638924561475203,-0.014130932589155848,3.7020518039998507e-09
vol_recency_6m,"(0.864, 1.599]",62,52,10,0.8387096638917797,0.16129031997918838,0.8638924561475203,0.00685310085446433,3.7020518039998507e-09
vol_recency_6m,"(1.599, 4.682]",153,109,44,0.712418295997266,0.2875816974667863,0.8638924561475203,-0.09499063208235049,3.7020518039998507e-09
vol_recency_6m,"(4.682, 6.924]",62,38,24,0.6129032159209159,0.38709676795005216,0.8638924561475203,-0.07422470438572168,3.7020518039998507e-09
vol_recency_6m,"(6.924, 29.291]",90,48,42,0.5333333274074075,0.46666666148148156,0.8638924561475203,-0.14921851734176483,3.7020518039998507e-09
