Variable,Bin,total,good,bad,good_rate,bad_rate,WoE,IV_component,IV
txn_density_3m,"(-0.001, 0.0565]",65,49,16,0.7538461422485209,0.24615384236686397,-0.3945609253174862,0.01130882049104087,-0.0179638712188957
txn_density_3m,"(0.0565, 0.139]",116,72,44,0.620689649821641,0.37931034155766946,-1.0213141688737304,0.15799380070985689,-0.0179638712188957
txn_density_3m,"(0.139, 0.407]",158,126,32,0.7974683493831117,0.2025316442877744,-1.0213141688737304,0.02396641856755099,-0.0179638712188957
txn_density_3m,"(0.407, 0.991]",143,100,43,0.6993006944104847,0.3006992985965084,-1.0213141688737304,0.11780322832918179,-0.0179638712188957
txn_density_3m,"(0.991, 3.653]",261,228,33,0.8735632150438191,0.12643678112476328,-1.0213141688737304,-0.09638816236862982,-0.0179638712188957
txn_density_3m,"(3.653, 93.5]",266,252,14,0.9473684174910962,0.052631578749505345,-1.0213141688737304,-0.23264797694789643,-0.0179638712188957
