Variable,Bin,total,good,bad,good_rate,bad_rate,WoE,IV_component,IV
sum_amount_6m,"(-0.001, 54335.0]",95,66,29,0.6947368347922439,0.3052631546814405,-0.6914328372394973,0.054992508427944016,-2.9630079327602754e-09
sum_amount_6m,"(54335.0, 79989.0]",63,57,6,0.904761890400605,0.09523809372637947,-0.6914328372394973,-0.02486170406286309,-2.9630079327602754e-09
sum_amount_6m,"(79989.0, 587317.75]",562,464,98,0.8256227743316321,0.1743772238890085,-0.6914328372394973,-0.015628145884000074,-2.9630079327602754e-09
sum_amount_6m,"(587317.75, 1008552.0]",129,115,14,0.8914728613064119,0.10852713094165015,-0.6914328372394973,-0.042961318683647526,-2.9630079327602754e-09
sum_amount_6m,"(1008552.0, 1814462.125]",89,65,24,0.7303370704456509,0.2696629183183942,-0.6914328372394973,0.036833174478605776,-2.9630079327602754e-09
sum_amount_6m,"(1814462.125, 10111626.0]",71,60,11,0.8450704106328112,0.15492957528268203,-0.6914328372394973,-0.008374517239047034,-2.9630079327602754e-09
