Variable,Bin,total,good,bad,good_rate,bad_rate,WoE,IV_component,IV
days_since_last_txn,"(-0.001, 1.5]",138,118,20,0.8550724575719387,0.14492753518168452,0.26115225574147355,0.008564303329201616,0.03344610649037291
days_since_last_txn,"(1.5, 9.5]",481,390,91,0.8108108091251335,0.18918918879586447,0.26115225574147355,-0.007420891825571563,0.03344610649037291
days_since_last_txn,"(9.5, 11.5]",60,36,24,0.5999999900000001,0.39999999333333347,0.26115225574147355,-0.023069484339846763,0.03344610649037291
days_since_last_txn,"(11.5, 16.5]",135,118,17,0.8740740675994514,0.12592592499314129,0.42366957937278943,0.02087750835093878,0.03344610649037291
days_since_last_txn,"(16.5, 22.5]",93,86,7,0.924731172852353,0.07526881639495897,0.9946227601073107,0.06517642409178277,0.03344610649037291
days_since_last_txn,"(22.5, 112.0]",102,79,23,0.7745097963283354,0.22549019386774322,0.9946227601073107,-0.030681753116131926,0.03344610649037291
